object	area	elev	ct_index	frac_noinf	frac_water	soildepth	wc_max	exp_satfrac	thr_surf	relsat_inter	rate_inter	rate_base	mult_str_surf	str_pref	mult_str_inter	str_base	relsat_etmin	relsat_etmax	fac_precip
cat_120	171090000	558	380800	0.15	0	0.6189	0.471599	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_121	105300000	318.1	599800	0	0	1.25	0.461	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_122	271890000	446.7	310900	0	0	1.22	0.465	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_123	211410000	407.9	448600	0	0	1.25	0.461	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_124	499860000	306.4	269100	0	0.02	1.222	0.466716	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_125	111420000	531.9	287100	0	0	1.24	0.4577	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_126	130500000	673.5	241400	0	0.1	1.219	0.462796	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_127	130050000	538.9	342400	0.16	0	0.58	0.4723	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_128	326430000	604.7	239700	0	0	1.2	0.46745	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_129	169740000	346.7	252600	0	0	1.25	0.461	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_13	110880000	406.1	562300	0	0	1.224	0.460244	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
cat_130	262170000	489.5	207800	0	0	1.22	0.465	{exp_satfrac}	{thr_surf}	{relsat_inter}	{rate_inter}	{rate_base}	{mult_str_surf}	{str_pref}	{mult_str_inter}	{str_base}	{relsat_etmin}	{relsat_etmax}	1
